target,feature1,feature2,feature3,feature4,feature5,feature6,feature7
0.5033005384815504,0.8162351310270347,0.9246414801364146,0.8926861300784467,0.9960255617186777,0.7747831035150644,0.7149344119644515,0.4789892624368257
0.02824907950074318,0.5819591995137626,0.6192602409762261,0.6858163213826999,0.7269257823475226,0.7982102514137789,0.09879726651556098,0.4169543158748876
0.8553198303106396,0.4706867916329993,0.7130443244555558,0.4512354216243303,0.8911196079318854,0.26873608441200914,0.8174439055585621,0.6733818196760254
0.03284840817705326,0.8005231427180861,0.4907368937108898,0.47073587969825825,0.4182530390168404,0.6179872490931273,0.6996234021165065,0.8437892241606059
0.7034113679479568,0.6497099706512907,0.2794921616153204,0.9517355693402555,0.23238056586165468,0.18631326255381975,0.4562168226628214,0.702181664014323
0.36570123964279133,0.1299586605216968,0.4732437920204724,0.000772755003707104,0.9370597433969431,0.8250362181896089,0.150667859215859,0.18324156639646327
0.7782141701436719,0.09900439519981452,0.5922442455730028,0.46104356877428765,0.8774439247912555,0.16937577743714338,0.38531622261579446,0.46054804394048166
0.2415540595285125,0.3497358049133773,0.7027765796404368,0.4433528377475443,0.5189124126774963,0.6396717949250151,0.21396331806734104,0.2727120600982258
0.02412992490740129,0.38341374971109865,0.24869159886620962,0.8504274495327657,0.028245335389515458,0.8236501531961566,0.017527536150589662,0.40814264922262056
0.3788618027931827,0.5516074617556431,0.9005134439265529,0.3633620909318248,0.05988735355351349,0.2147470594658596,0.5966727300531693,0.13601817474144196
0.45092279366240573,0.23695960608449007,0.7458118697323329,0.24988773490789273,0.35422969372875146,0.9701163548101949,0.7087209281748788,0.6958119310543321
0.7182379336125373,0.38988904084657994,0.42637381050942336,0.7746609085608135,0.22691459467534425,0.29002248896061067,0.6808748636941229,0.5180062997352379
0.5373053558790386,0.6802185039098663,0.18794173626489985,0.414435008241522,0.18076805033391052,0.8045701617861588,0.7196251486059906,0.984009943910139
0.6945073132245104,0.4114064131586277,0.8461827117713369,0.918649530555969,0.8509538777150094,0.5143439224801182,0.5701958987186212,0.46271072340344754
0.23796612028281405,0.6127433795820324,0.12452829653464548,0.6230703770662257,0.6322962033297971,0.08552411007108951,0.9522135440958256,0.775052479055006
0.043096973651907455,0.6914126109645867,0.6065705921320999,0.011196635390027465,0.11305103355534751,0.2937414124014567,0.8605121176847618,0.04875274356978565
0.49470291969476643,0.9765714065681854,0.49449185529679285,0.7073608280874425,0.25816877720816944,0.9213017988658813,0.5655337961885513,0.17576987231263974
0.2737353975635667,0.3350632584049209,0.3960275029045853,0.950279299720213,0.6506676965785207,0.27302783805109265,0.8095896766684838,0.8433329550094779
0.286871683542417,0.5298963907363686,0.738214162004374,0.9151514632415262,0.26550227281135963,0.8221992004724573,0.5116916547191215,0.3867173503182336
0.28412569663912934,0.9303674863554612,0.7390950581693891,0.06636727968113998,0.8516473699190132,0.009436210100643438,0.9017626348018585,0.9119396796791759
0.02173041795501285,0.9290057947285758,0.575076385785106,0.963626340576369,0.032940097802908186,0.29043605560831476,0.7903133197123087,0.20432105784075827
0.9223249955559629,0.3186459075294453,0.26441985011685065,0.4443345130416261,0.3553007526714287,0.6686293443901367,0.3308445128287939,0.9916179974456186
0.1442057475875721,0.6004462352720145,0.9086006622031344,0.5388836220018464,0.9011552054353825,0.3346212483176051,0.022237743695461276,0.22136820352432707
0.8161380679463436,0.78682388264237,0.7785495512374706,0.6071026674112565,0.1628384061394177,0.5696530910622856,0.7427904253638572,0.47905043601413433
0.2811081236865529,0.1045214085429127,0.5107478858686798,0.5577703597399227,0.9232980791612262,0.8829461698193056,0.6208378771358176,0.8556633240086876
0.10025080898901484,0.7805605575123675,0.2387647045078808,0.9847009590136165,0.8291689246175941,0.5578803201640515,0.4381484191291748,0.7794148638360979
0.028899195374310405,0.46492982204833133,0.4434788199560089,0.8993369902379077,0.41324815353204525,0.6035421327451744,0.17689350833404127,0.23407511745090548
0.1407069579483914,0.14474107126842173,0.6295926387434922,0.3789533320793633,0.5227412799145341,0.7530881253625414,0.9124248520385119,0.47829124163111647
0.05907930307775022,0.7006833904414466,0.8601529526299294,0.20397701406515278,0.9916178239284417,0.6756808805825413,0.10313812515107756,0.6438509027378435
0.7751538539087742,0.2764320260489769,0.3047042447613878,0.5472255713595542,0.7321703277742959,0.746713120328939,0.9821722300039304,0.17678011566321972
0.7874943767422334,0.5982026617248454,0.43231180280824255,0.2303212771451265,0.27001189307226003,0.5731924905924429,0.7522364556529586,0.7076331549061651
0.13078166088554655,0.7613366240187913,0.1493475756046191,0.6811625215852697,0.17832784390546597,0.4037416907071856,0.1321233569214092,0.903630744167994
0.8524719453421002,0.1041017189527037,0.9385645347250744,0.18214153442535752,0.29775988959048494,0.26444920739943334,0.4779011598119459,0.11992253425493848
0.39562652090801,0.8680976480876277,0.4280979073894122,0.2742223149298686,0.15963781630130847,0.7460955337008341,0.6695399530827444,0.5516294894640266
0.942187745614313,0.6216513587489109,0.8131284611295574,0.5602744301313466,0.08152975802561224,0.7676705671365042,0.1036537878331878,0.6153241539736016
